WA,6.88,1.94,39.6,7.6e6,15.4,22.1
CA,15.16,8.22,97.9,39.5e6,14.3,22.7
NJ,8.37,0.07,467,8.9e6,16.1,21.9
CO,6.57,-5.79,19.9,5.8e6,14.2,22.2
NY,7.73,-0.63,159,19.4e6,16.4,20.8
FR,8.57,2.79,104,67e6,19.7,18.7
IT,9.24,3.17,201.3,60.3e6,23.0,13.9
NL,6.93,1.9,421,17.4e6,18.8,16.6
SP,10.82,4.22,92,47e6,19.4,14.8
DE,7.53,0.61,232,83.1e6,21.5,13.1
CH,5.83,-0.06,207,8.6e6,18.4,14.6
FL,24.75,17,121,21.5e6,20.5,19.9
MI,4.43,-0.91,67.1,9.9e6,17.2,21.7
LA,22.56,17.17,34.6,4.6e6,15.4,23.5
BE,6.89,1.45,376,11.5e6,18.6,16.9
IL,5.31,0.41,89.4,12.7e6,15.6,22.4
GA,16.31,10.39,65.4,10.6e6,13.9,23.8
MA,5.59,-2.24,324,6.9e6,16.5,19.8
TX,17.69,12.7,40.6,29e6,12.6,25.8
RO,6.99,-0.1,84.4,19.4e6,17.9,15.3
IN,6.92,2.64,70.7,6.7e6,15.8,23.4
MD,9.98,1.82,238,6.04e6,15.4,22.5
PA,8.72,1.0,110,12.8e6,18.2,20.7
WI,4.32,-1.09,40.6,5.8e6,17,22
SW,2.2,-3.16,23,10.3e6,19.9,17.4
NV,14.54,0.98,10.3,3.1e6,15.7,22.7
GR,12.01,6.03,82,10.8e6,20.4,14.2
KY,11.77,4.97,42.5,4.5e6,16.4,22.6
UK,7.51,2.07,263,63.1e6,18.5,17.7
OH,1.00,1.00,109,11.7e6,17.1,22.2
IR,1.00,1.00,70,4.9e6,21.6,13.9
CT,1.00,1.00,285,3.6e6,17.2,20.6
PT,1.00,1.00,115,10.3e6,21.5,13.6
VA,1.00,1.00,80,8.5e6,15.4,22.0
AT,1.00,1.00,106,8.9e6,19.2,14.1
NC,1.00,1.00,81,10.5e6,16.3,22.2
