Data,WA,CA,NJ,CO,NY,FR,IT,NL,SP,DE,CH,FL,MI,LA,BE,IL,GA,MA,TX,RO,IN,MD,PA,SF,WI,SW,NV,GR,KY,UK,OH,IR,CT,PT,VA,AT,NC
1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,1,0,0,0,1,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,0,0,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,3,41,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0
12,0,0,0,0,0,2,49,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0
13,5,0,0,0,0,7,36,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,0,0,0,0,3,133,2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0
15,2,0,0,0,0,11,97,1,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,2,0,0,0,0,0,0,0
16,2,1,1,0,0,3,168,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,1,0,0,0,0,0,0,0
17,6,1,0,0,0,15,196,1,19,1,1,0,0,0,3,0,1,0,0,0,0,0,1,48,0,1,0,0,0,2,0,1,0,0,0,0,0
18,0,0,0,0,0,13,189,0,31,3,3,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,1,0,2,0,0,0,0,0,0,0
19,7,1,0,1,0,18,250,5,47,2,4,1,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,1,0,0,0,0,0,1,0
20,3,0,1,0,2,12,175,2,63,1,2,1,0,1,1,0,0,0,0,0,0,0,0,73,0,1,0,2,0,10,0,1,0,0,0,0,0
21,2,1,0,0,4,36,368,8,98,4,1,2,0,1,0,0,0,0,1,0,1,0,0,82,0,1,1,1,0,14,0,0,0,0,0,0,0
22,8,5,1,0,4,21,349,4,48,4,5,1,0,1,6,0,0,0,0,0,1,0,0,103,0,4,0,0,1,20,0,0,0,1,0,2,0
23,5,3,0,1,6,27,345,19,191,9,8,1,0,1,0,1,0,0,1,0,0,0,0,131,0,1,0,1,0,16,1,0,0,0,0,1,0
24,13,2,2,0,1,89,475,15,105,2,6,1,1,4,4,0,3,0,1,0,0,1,0,146,0,2,0,0,0,33,0,0,1,1,0,0,0
25,6,3,4,2,17,108,427,18,193,16,10,1,2,2,7,3,6,0,1,0,0,0,0,175,2,1,0,1,1,40,1,1,2,2,2,2,0
26,9,5,2,0,22,78,627,30,262,24,13,2,1,3,16,1,4,1,1,0,2,1,0,261,1,5,1,4,0,33,3,0,1,2,0,0,0
27,12,4,5,2,19,112,793,30,288,16,24,2,4,6,30,1,6,1,0,0,0,1,2,272,1,4,0,3,1,56,0,0,1,6,1,2,0
28,0,7,5,1,73,112,651,43,391,10,18,2,1,0,8,3,6,3,3,3,3,0,2,287,0,1,0,2,0,48,1,1,3,2,3,8,0
29,16,8,6,0,36,186,601,34,539,29,22,4,9,16,13,3,1,4,1,4,0,0,2,310,1,6,2,2,1,54,2,2,2,9,1,5,0
